customer_age_class,region,internet_product_name,basket_package_price_disc,internet_package_price_disc,basket_days_until_contract_end,count_previous_cancellations_0_18,flag_churn
50 - 54,NRW,VF CABLEMAX,44.63,45.25,30,0,1
55 - 59,NRW,VF RIP U-TREUE,49.96,38.13,30,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,33.83,34.59,31,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,27.56,30.41,31,0,1
35 - 39,NRW,VF RIP U-TREUE,24.15,29.12,29,0,0
25 - 29,NRW,VF CABLEMAX,39.95,44.69,31,0,1
80 and over,NRW,GIGAZUHAUSE TREUE C,44.88,16.6,31,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,37.86,40.1,29,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,32.85,40.4,30,0,0
50 - 54,NRW,VF CABLEMAX,45.75,45.37,30,0,1
50 - 54,NRW,GIGAZUHAUSE KABEL,76.41,60.02,31,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,45.51,44.07,27,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,41.14,38.89,29,0,1
50 - 54,NRW,VF CABLEMAX,47.93,50.68,30,0,0
25 - 29,NRW,GIGAZUHAUSE KABEL,38.16,33.27,203,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,40.81,49.52,28,0,0
35 - 39,NRW,VF CABLEMAX,43.47,44.08,30,0,0
55 - 59,NRW,GIGAZUHAUSE KABEL,46.72,42.77,29,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,30.16,28.47,29,0,1
25 - 29,NRW,VF CABLEMAX,48.08,44.47,29,0,1
25 - 29,NRW,VF CABLEMAX,44.87,44.84,66,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,44.02,40.27,33,0,0
25 - 29,NRW,VF CABLEMAX,38.83,44.61,27,0,1
55 - 59,NRW,VF CABLEMAX,80.69,49.75,30,0,0
50 - 54,NRW,VF CABLEMAX,76.31,62.63,31,0,1
55 - 59,NRW,GIGAZUHAUSE KABEL,35.44,39.2,30,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,32.6,40.61,30,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,42.44,39.83,31,0,1
80 and over,NRW,VF RIP U-TREUE,38.88,27.53,30,0,0
50 - 54,NRW,VF CABLEMAX,44.7,44.52,30,0,1
80 and over,NRW,EAZY,19.21,23.05,32,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,40.76,38.68,31,0,1
35 - 39,NRW,VF RIP U-TREUE,36.65,26.54,31,0,1
55 - 59,NRW,VF RIP U-TREUE,49.69,38.54,31,0,0
55 - 59,NRW,VF RIP U-TREUE,48.64,39.59,31,0,0
50 - 54,NRW,VF CABLEMAX,83.49,49.67,30,0,0
35 - 39,NRW,VF CABLEMAX,41.94,44.63,30,0,1
50 - 54,NRW,GIGAZUHAUSE KABEL,60.96,58.84,31,0,0
35 - 39,NRW,VF CABLEMAX,49.13,45.18,31,0,1
55 - 59,NRW,VF RIP U-TREUE,49.12,44.05,30,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,41.82,39.99,30,0,0
25 - 29,NRW,VF CABLEMAX,41.48,44.9,28,0,1
80 and over,NRW,VF RIP U-TREUE,25.66,30.16,29,0,0
60 - 64,NRW,GIGAZUHAUSE TREUE B,28.08,25.12,32,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,41.63,45.9,29,0,0
50 - 54,NRW,VF CABLEMAX,85.07,61.4,29,0,0
25 - 29,NRW,GIGAZUHAUSE KABEL,43.13,40.4,29,0,1
50 - 54,NRW,VF CABLEMAX,45.22,43.79,29,0,0
50 - 54,NRW,GIGAZUHAUSE KABEL,45.54,44.32,31,0,0
60 - 64,NRW,VF RIP U-TREUE,41.71,40.1,30,0,0
50 - 54,NRW,VF CABLEMAX,68.13,44.41,29,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,39.06,28.33,32,0,1
65 - 69,NRW,GIGAZUHAUSE KABEL,40.5,37.88,32,0,0
50 - 54,NRW,VF CABLEMAX,47.3,45.09,31,0,1
25 - 29,NRW,GIGAZUHAUSE KABEL,44.99,45.46,31,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,47.59,44.56,30,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,33.83,39.5,29,0,1
35 - 39,NRW,VF RIP U-TREUE,29.59,27.48,28,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,47.31,40.49,29,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,35.64,40.19,31,0,1
55 - 59,NRW,VF RIP U-TREUE,46.26,42.74,30,0,0
80 and over,NRW,VF RIP U-TREUE,30.33,32.77,32,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,36.24,39.63,29,0,1
60 - 64,NRW,GIGAZUHAUSE TREUE B,29.68,28.57,31,0,0
50 - 54,NRW,RED INTERNET & PHONE CABLE U,48.41,50.22,29,0,0
35 - 39,NRW,VF CABLEMAX,48.24,44.42,30,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,41.33,45.03,30,0,1
35 - 39,NRW,VF CABLEMAX,43.49,45.46,28,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,42.43,44.73,30,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,39.6,39.44,29,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,30.3,40.47,29,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,39.03,40.04,29,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,58.27,39.74,30,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,37.98,39.58,31,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,45.94,44.88,29,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,26.97,29.03,29,0,1
55 - 59,NRW,VF CABLEMAX,80.65,49.51,31,0,0
55 - 59,NRW,GIGAZUHAUSE KABEL,43.45,49.33,26,0,0
55 - 59,NRW,GIGAZUHAUSE KABEL,92.76,49.58,31,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,32.09,39.55,30,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,33.4,35.54,29,0,1
40 - 44,NRW,VF RIP U-TREUE,35.46,24.64,33,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,42.08,44.55,31,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,47.59,45.8,30,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,65.93,52.91,30,0,0
50 - 54,NRW,VF CABLEMAX,43.77,44.57,28,0,1
80 and over,NRW,VF RIP U-TREUE,32.54,28.97,28,0,0
25 - 29,NRW,GIGAZUHAUSE KABEL,44.53,40.22,193,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,38.14,29.0,27,0,1
50 - 54,NRW,VF CABLEMAX,56.71,45.22,30,0,0
35 - 39,NRW,VF RIP U-TREUE,34.08,23.8,29,0,0
25 - 29,NRW,VF RIP U-TREUE,18.26,27.78,27,0,1
80 and over,NRW,VF RIP U-TREUE,46.77,39.61,28,0,0
30 - 34,NRW,GIGAZUHAUSE TREUE B,35.17,23.37,341,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,42.37,40.03,30,0,0
55 - 59,NRW,GIGAZUHAUSE KABEL,73.69,43.05,30,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,45.08,39.87,29,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,50.76,45.26,31,0,0
55 - 59,NRW,VF RIP U-TREUE,42.31,43.11,28,0,0
55 - 59,NRW,VF CABLEMAX,50.98,49.75,30,0,0
35 - 39,NRW,GIGAZUHAUSE KABEL,40.51,43.5,30,0,1
25 - 29,NRW,VF CABLEMAX,48.94,45.33,107,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,47.38,45.21,30,0,1
25 - 29,NRW,VF CABLEMAX,65.79,45.88,28,0,1
80 and over,NRW,VF RIP U-TREUE,20.74,28.94,29,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,35.91,30.6,30,0,1
40 - 44,NRW,GIGAZUHAUSE TREUE B,28.22,38.7,372,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,42.27,39.03,32,0,0
80 and over,NRW,VF RIP U-TREUE,39.34,33.12,30,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,44.82,39.42,29,0,1
35 - 39,NRW,VF RIP U-TREUE,27.47,38.6,30,0,1
35 - 39,NRW,VF RIP U-TREUE,22.85,29.18,29,0,0
60 - 64,NRW,GIGAZUHAUSE KABEL,63.38,59.62,386,0,0
55 - 59,NRW,GIGAZUHAUSE KABEL,54.33,47.62,30,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,44.08,46.11,29,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,45.32,39.85,27,0,1
25 - 29,NRW,VF CABLEMAX,33.14,45.18,33,0,1
55 - 59,NRW,GIGAZUHAUSE KABEL,76.95,59.8,30,0,0
55 - 59,NRW,VF CABLEMAX,53.63,49.79,30,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,18.12,30.67,28,0,1
50 - 54,NRW,GIGAZUHAUSE KABEL,41.75,38.94,31,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,39.29,39.69,33,0,0
35 - 39,NRW,VF CABLEMAX,46.61,44.34,30,0,1
50 - 54,NRW,RED INTERNET & PHONE CABLE U,48.73,45.26,31,0,0
50 - 54,NRW,GIGAZUHAUSE KABEL,84.24,55.38,281,0,0
35 - 39,NRW,GIGAZUHAUSE TREUE C,30.76,5.07,30,0,0
80 and over,NRW,VF RIP U-TREUE,20.99,25.8,32,0,0
35 - 39,NRW,VF RIP U-TREUE,40.4,39.06,29,0,0
35 - 39,NRW,GIGAZUHAUSE KABEL,40.75,43.52,30,0,1
35 - 39,NRW,VF RIP U-TREUE,27.45,25.91,28,0,0
35 - 39,NRW,VF CABLEMAX,49.0,44.92,30,0,1
35 - 39,NRW,VF RIP U-TREUE,35.61,39.06,31,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,33.06,44.76,29,0,0
35 - 39,NRW,GIGAZUHAUSE TREUE C,23.39,25.51,29,0,1
80 and over,NRW,VF RIP U-TREUE,30.73,26.03,30,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,43.8,44.44,31,0,0
50 - 54,NRW,VF CABLEMAX,42.71,45.0,30,0,1
80 and over,NRW,EAZY,34.18,25.86,29,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,38.67,39.02,30,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,43.97,44.49,31,0,1
50 - 54,NRW,VF CABLEMAX,44.07,50.68,31,0,0
50 - 54,NRW,GIGAZUHAUSE KABEL,87.11,54.24,30,0,1
35 - 39,NRW,GIGAZUHAUSE TREUE C,30.17,18.12,30,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,51.64,43.09,30,0,1
35 - 39,NRW,VF RIP U-TREUE,25.04,26.01,29,0,0
25 - 29,NRW,VF CABLEMAX,48.5,45.58,31,0,1
50 - 54,NRW,VF CABLEMAX,45.52,45.89,30,0,0
55 - 59,NRW,VF CABLEMAX,82.01,49.18,28,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,49.16,44.44,31,0,1
25 - 29,NRW,VF CABLEMAX,41.42,44.58,29,0,1
80 and over,NRW,VF RIP U-TREUE,26.72,28.78,29,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,41.58,40.2,28,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,40.25,40.73,30,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,35.84,29.98,30,0,0
35 - 39,NRW,VF RIP U-TREUE,16.43,26.74,33,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,41.74,45.32,31,0,1
35 - 39,NRW,GIGAZUHAUSE KABEL,37.1,38.23,30,0,1
25 - 29,NRW,GIGAZUHAUSE KABEL,36.74,39.53,33,0,0
50 - 54,NRW,VF CABLEMAX,49.03,50.32,29,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,35.34,40.42,29,0,0
55 - 59,NRW,GIGAZUHAUSE KABEL,79.51,54.7,30,0,0
80 and over,NRW,EAZY,19.62,22.97,30,0,0
25 - 29,NRW,VF CABLEMAX,48.68,46.06,31,0,1
35 - 39,NRW,GIGAZUHAUSE KABEL,44.46,39.56,313,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,42.99,39.1,30,0,1
80 and over,NRW,VF RIP U-TREUE,28.72,34.02,29,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,39.11,39.66,29,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,31.86,26.54,30,0,1
35 - 39,NRW,VF RIP U-TREUE,42.61,38.72,31,0,0
80 and over,NRW,VF RIP U-TREUE,32.26,28.71,30,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,31.84,28.17,29,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,42.91,39.72,29,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,36.42,34.79,32,0,1
25 - 29,NRW,VF CABLEMAX,48.04,46.2,29,0,1
35 - 39,NRW,VF RIP U-TREUE,19.61,24.37,32,0,0
25 - 29,NRW,VF CABLEMAX,42.31,44.79,30,0,1
80 and over,NRW,VF RIP U-TREUE,27.24,22.62,29,0,0
80 and over,NRW,VF RIP U-TREUE,37.06,29.62,32,0,0
55 - 59,NRW,GIGAZUHAUSE KABEL,78.76,49.0,32,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,43.42,39.98,31,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,40.28,38.78,30,0,1
80 and over,NRW,VF RIP U-TREUE,30.59,25.26,32,0,0
35 - 39,NRW,VF RIP U-TREUE,36.02,38.77,30,0,0
60 - 64,NRW,GIGAZUHAUSE KABEL,79.97,52.23,360,0,0
55 - 59,NRW,VF RIP U-TREUE,41.31,39.06,31,0,0
25 - 29,NRW,VF CABLEMAX,47.07,45.57,30,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,35.77,35.38,28,0,1
50 - 54,NRW,VF CABLEMAX,77.39,59.07,31,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,36.8,40.28,30,0,1
55 - 59,NRW,VF RIP U-TREUE,41.56,37.9,30,0,0
55 - 59,NRW,VF RIP U-TREUE,41.72,44.0,30,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,57.32,45.08,32,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,31.95,33.89,30,0,0
80 and over,NRW,EAZY,25.58,22.46,33,0,0
55 - 59,NRW,VF CABLEMAX,88.21,50.18,29,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,73.91,56.3,31,0,0
55 - 59,NRW,VF RIP U-TREUE,46.2,38.31,28,0,0
25 - 29,NRW,GIGAZUHAUSE KABEL,40.04,39.72,31,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,40.39,38.97,29,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,40.04,31.52,31,0,0
80 and over,NRW,VF RIP U-TREUE,40.24,34.28,29,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,41.97,39.37,27,0,0
35 - 39,NRW,VF RIP U-TREUE,28.9,28.06,30,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,44.51,39.5,30,0,1
80 and over,NRW,VF RIP U-TREUE,38.88,29.39,29,0,0
80 and over,NRW,VF RIP U-TREUE,25.38,27.09,31,0,0
80 and over,NRW,RED INTERNET & PHONE CABLE U,33.73,30.32,32,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,56.66,45.03,30,0,1
35 - 39,NRW,GIGAZUHAUSE KABEL,42.15,39.99,30,0,1
55 - 59,NRW,GIGAZUHAUSE KABEL,73.7,48.8,31,0,0
80 and over,NRW,VF RIP U-TREUE,26.45,28.08,31,0,0
55 - 59,NRW,GIGAZUHAUSE TREUE B,37.84,38.32,32,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,40.95,39.35,32,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,33.14,40.03,28,0,1
80 and over,NRW,VF RIP U-TREUE,36.24,25.53,29,0,0
40 - 44,NRW,GIGAZUHAUSE KABEL,71.74,38.5,29,0,0
55 - 59,NRW,GIGAZUHAUSE KABEL,47.77,53.35,30,0,0
55 - 59,NRW,VF CABLEMAX,75.38,50.33,30,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,47.08,44.85,30,0,1
80 and over,NRW,VF RIP U-TREUE,20.48,23.03,31,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,40.81,40.26,29,0,1
25 - 29,NRW,VF CABLEMAX,43.66,45.0,28,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,28.92,35.42,29,0,1
60 - 64,NRW,GIGAZUHAUSE TREUE B,41.96,37.88,338,0,0
80 and over,NRW,VF RIP U-TREUE,26.04,22.17,33,0,0
35 - 39,NRW,VF RIP U-TREUE,24.59,26.01,30,0,0
25 - 29,NRW,GIGAZUHAUSE KABEL,42.86,45.13,167,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,45.39,40.02,29,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,42.17,39.72,29,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,38.59,45.03,27,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,43.28,40.6,30,0,1
55 - 59,NRW,VF CABLEMAX,90.51,48.76,30,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,37.3,30.46,28,0,1
50 - 54,NRW,VF CABLEMAX,57.02,45.03,31,0,0
80 and over,NRW,RED INTERNET & PHONE CABLE U,43.05,35.43,30,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,35.24,40.05,30,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,33.84,39.96,29,0,0
50 - 54,NRW,VF CABLEMAX,45.35,46.05,30,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,45.73,43.62,29,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,45.63,40.19,30,0,0
25 - 29,NRW,VF CABLEMAX,40.64,44.81,30,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,32.97,29.13,30,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,41.55,39.31,30,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,42.18,49.6,30,0,0
80 and over,NRW,VF RIP U-TREUE,32.59,21.17,31,0,0
55 - 59,NRW,VF RIP U-TREUE,33.97,43.38,31,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,42.35,29.61,31,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,43.63,44.88,31,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,56.23,50.23,30,0,0
35 - 39,NRW,GIGAZUHAUSE KABEL,38.73,39.12,30,0,1
60 - 64,NRW,GIGAZUHAUSE KABEL,57.12,57.19,333,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,38.91,34.99,32,0,0
80 and over,NRW,VF RIP U-TREUE,33.56,39.07,28,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,24.56,27.3,29,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,36.44,40.63,29,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,44.4,48.32,30,0,0
50 - 54,NRW,GIGAZUHAUSE KABEL,61.36,57.48,308,0,1
55 - 59,NRW,VF RIP U-TREUE,37.58,44.21,31,0,0
55 - 59,NRW,GIGAZUHAUSE KABEL,43.13,38.49,30,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,31.27,29.0,29,0,1
25 - 29,NRW,VF CABLEMAX,37.97,44.53,29,0,1
80 and over,NRW,VF RIP U-TREUE,40.91,30.81,30,0,0
25 - 29,NRW,VF CABLEMAX,50.55,45.25,30,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,42.78,39.69,30,0,0
80 and over,NRW,MMA,30.67,10.58,29,0,0
25 - 29,NRW,VF CABLEMAX,41.83,45.24,29,0,1
35 - 39,NRW,VF RIP U-TREUE,31.85,27.54,33,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,27.72,30.59,31,0,1
55 - 59,NRW,VF RIP U-TREUE,50.48,38.84,32,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,54.31,45.39,29,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,38.74,40.24,29,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,40.69,44.55,32,0,0
80 and over,NRW,VF RIP U-TREUE,31.28,29.05,29,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,21.93,31.99,30,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,49.92,39.03,32,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,42.34,39.91,31,0,1
80 and over,NRW,VF RIP U-TREUE,28.91,24.76,30,0,0
60 - 64,NRW,GIGAZUHAUSE KABEL,46.05,38.41,358,0,0
80 and over,NRW,VF RIP U-TREUE,41.55,29.23,28,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,33.85,39.99,32,0,1
40 - 44,NRW,VF RIP U-TREUE,35.19,38.05,29,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,26.09,26.29,30,0,0
25 - 29,NRW,VF CABLEMAX,45.89,44.56,31,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,24.55,33.78,30,0,1
35 - 39,NRW,GIGAZUHAUSE KABEL,36.34,39.37,383,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,35.8,29.74,30,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,42.21,57.93,29,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,37.04,38.88,29,0,0
35 - 39,NRW,VF RIP U-TREUE,18.19,24.61,31,0,0
25 - 29,NRW,VF CABLEMAX,42.59,45.07,30,0,1
35 - 39,NRW,VF RIP U-TREUE,43.86,22.4,32,0,0
35 - 39,NRW,VF RIP U-TREUE,29.9,24.57,32,0,0
55 - 59,NRW,GIGAZUHAUSE KABEL,51.98,44.17,32,0,1
25 - 29,NRW,VF CABLEMAX,41.35,45.04,29,0,0
40 - 44,NRW,GIGAZUHAUSE KABEL,65.56,42.95,29,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,45.34,39.85,31,0,0
80 and over,NRW,VF RIP U-TREUE,37.04,40.41,28,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,37.45,39.22,28,0,1
35 - 39,NRW,VF RIP U-TREUE,44.22,33.84,33,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,38.38,39.31,29,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,61.75,48.56,30,0,0
80 and over,NRW,VF RIP U-TREUE,44.56,25.56,30,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,43.82,45.45,30,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,25.4,30.09,28,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,27.7,28.4,29,0,1
80 and over,NRW,VF RIP U-TREUE,41.69,38.8,29,0,0
80 and over,NRW,VF RIP U-TREUE,28.53,29.74,29,0,0
25 - 29,NRW,GIGAZUHAUSE KABEL,37.48,44.26,30,0,1
35 - 39,NRW,GIGAZUHAUSE KABEL,34.09,40.72,29,0,1
55 - 59,NRW,GIGAZUHAUSE KABEL,55.26,40.92,30,0,0
55 - 59,NRW,VF CABLEMAX,51.83,48.52,31,0,0
55 - 59,NRW,VF RIP U-TREUE,31.92,44.09,30,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,31.29,40.47,28,0,1
80 and over,NRW,VF RIP U-TREUE,23.45,25.74,31,0,0
50 - 54,NRW,VF CABLEMAX,50.09,49.38,31,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,42.22,40.01,29,0,1
25 - 29,NRW,VF CABLEMAX,53.17,45.75,30,0,1
35 - 39,NRW,VF RIP U-TREUE,10.8,25.34,32,0,0
55 - 59,NRW,VF RIP U-TREUE,34.69,39.23,30,0,0
35 - 39,NRW,VF RIP U-TREUE,40.11,38.06,33,0,1
80 and over,NRW,VF RIP U-TREUE,44.29,29.12,31,0,0
55 - 59,NRW,VF CABLEMAX,72.77,49.92,28,0,0
35 - 39,NRW,VF CABLEMAX,44.06,45.16,30,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,41.38,40.27,28,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,42.62,43.33,29,0,0
80 and over,NRW,VF RIP U-TREUE,32.0,31.26,32,0,0
25 - 29,NRW,VF CABLEMAX,47.18,44.87,30,0,1
50 - 54,NRW,VF CABLEMAX,71.99,45.2,30,0,1
25 - 29,NRW,GIGAZUHAUSE KABEL,25.94,18.78,194,0,1
55 - 59,NRW,RED INTERNET & PHONE CABLE U,43.43,39.85,32,0,0
25 - 29,NRW,VF CABLEMAX,39.7,44.79,31,0,1
25 - 29,NRW,GIGAZUHAUSE KABEL,34.98,30.05,300,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,48.07,40.44,30,0,1
80 and over,NRW,RED INTERNET & PHONE CABLE U,30.72,28.82,30,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,20.24,33.13,29,0,0
30 - 34,NRW,GIGAZUHAUSE KABEL,43.22,37.91,28,0,1
55 - 59,NRW,VF RIP U-TREUE,80.75,47.89,31,0,0
80 and over,NRW,VF RIP U-TREUE,33.13,26.34,30,0,0
55 - 59,NRW,VF CABLEMAX,73.35,59.33,30,0,0
25 - 29,NRW,VF CABLEMAX,42.46,44.86,30,0,1
50 - 54,NRW,RED INTERNET & PHONE CABLE U,44.93,49.58,30,0,0
80 and over,NRW,VF RIP U-TREUE,36.67,34.83,33,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,50.95,45.63,30,0,0
25 - 29,NRW,VF CABLEMAX,43.42,44.53,33,0,1
80 and over,NRW,VF RIP U-TREUE,35.48,25.86,31,0,0
35 - 39,NRW,GIGAZUHAUSE KABEL,48.69,44.55,29,0,1
25 - 29,NRW,RED INTERNET & PHONE CABLE U,36.77,39.24,31,0,1
35 - 39,NRW,RED INTERNET & PHONE CABLE U,42.47,39.37,29,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,29.93,26.89,30,0,1
25 - 29,NRW,VF CABLEMAX,42.74,45.2,26,0,1
55 - 59,NRW,VF RIP U-TREUE,38.92,39.87,28,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,34.76,39.51,29,0,1
80 and over,NRW,RED INTERNET & PHONE CABLE U,40.32,34.3,30,0,0
55 - 59,NRW,RED INTERNET & PHONE CABLE U,52.26,43.1,29,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,27.75,40.27,29,0,1
80 and over,NRW,VF RIP U-TREUE,18.69,23.69,31,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,39.0,39.4,70,0,1
40 - 44,NRW,VF RIP U-TREUE,36.65,37.73,32,0,0
25 - 29,NRW,RED INTERNET & PHONE CABLE U,45.58,38.97,30,0,1
35 - 39,NRW,GIGAZUHAUSE KABEL,39.55,38.91,31,0,0
35 - 39,NRW,RED INTERNET & PHONE CABLE U,41.77,39.52,29,0,0
